County,Imported,Local,Total,Recent 2 Weeks
U.S.,45,886,931,159
"Gaines, Texas",0,396,396,32
"Lea, New Mexico",0,61,61,2
"Terry, Texas",0,59,59,12
"Lubbock, Texas",0,48,48,7
"El Paso, Texas",0,32,32,25
"Dawson, Texas",0,25,25,4
"Knox, Ohio",3,17,20,0
"Yoakum, Texas",0,19,19,1
"Upshur, Texas",0,18,18,18
"Lamar, Texas",0,17,17,6
"Gray, Kansas",0,15,15,12
"Cochran, Texas",0,14,14,2
"Oklahoma, Oklahoma",0,12,12,3
"Ashtabula, Ohio",1,10,11,0
"Ector, Texas",0,10,10,2
"Allen, Indiana",0,8,8,2
"Haskell, Kansas",0,8,8,0
"Dallam, Texas",0,7,7,0
"Stevens, Kansas",0,7,7,0
"Kiowa, Kansas",0,6,6,0
"Erie, Pennsylvania",2,3,5,0
"Gallatin, Montana",0,5,5,5
"Hale, Texas",0,5,5,0
"Hockley, Texas",0,5,5,2
"Harris, Texas",0,4,4,0
"Montcalm, Michigan",1,3,4,1
"Parmer, Texas",0,4,4,4
"Andrews, Texas",0,3,3,1
"Bergen, New Jersey",1,2,3,0
"Denver, Colorado",2,1,3,2
"Eddy, New Mexico",0,3,3,1
"Finney, Kansas",1,2,3,0
"Fulton, Georgia",1,2,3,0
"King, Washington",2,1,3,1
"Knox, Tennessee",0,3,3,0
"Martin, Texas",0,3,3,0
"Midland, Texas",0,3,3,1
"Morton, Kansas",0,3,3,0
"New York, New York",0,3,3,0
"Bailey, Texas",0,2,2,2
"Faulkner, Arkansas",1,1,2,1
"Ford, Kansas",0,2,2,0
"Fort Bend, Texas",0,2,2,1
"Fresno, California",1,1,2,0
"Garza, Texas",0,2,2,0
"Grant, Kansas",0,2,2,0
"Hennepin, Minnesota",2,0,2,1
"Ingham, Michigan",1,1,2,1
"Lynn, Texas",0,2,2,0
"Philadelphia, Pennsylvania",2,0,2,0
"Prince George's, Maryland",2,0,2,0
"Rockwall, Texas",0,2,2,1
"Saline, Arkansas",1,1,2,1
"Snohomish, Washington",2,0,2,0
"Tuolumne, California",2,0,2,0
"Allen, Ohio",0,1,1,0
"Archuleta, Colorado",0,1,1,0
"Atascosa, Texas",0,1,1,1
"Borden, Texas",0,1,1,0
"Brazoria, Texas",0,1,1,1
"Brown, Texas",0,1,1,0
"Bucks, Pennsylvania",1,0,1,0
"Chaves, New Mexico",0,1,1,0
"Collin, Texas",0,1,1,1
"Dona Ana, New Mexico",0,1,1,0
"Erath, Texas",0,1,1,0
"Franklin, Kentucky",1,0,1,0
"Holmes, Ohio",0,1,1,0
"Honolulu, Hawaii",1,0,1,0
"Howard, Maryland",1,0,1,0
"Kenai Peninsula, Alaska",1,0,1,0
"Kent, Michigan",1,0,1,0
"Lamb, Texas",0,1,1,0
"Lamoille, Vermont",1,0,1,0
"Lancaster, Pennsylvania",0,1,1,0
"Los Angeles, California",1,0,1,0
"Macomb, Michigan",1,0,1,0
"Miami-Dade, Florida",0,1,1,0
"Montgomery, Pennsylvania",1,0,1,0
"Oakland, Michigan",1,0,1,0
"Orange, California",1,0,1,0
"Placer, California",1,0,1,0
"Potter, Texas",0,1,1,1
"Providence, Rhode Island",1,0,1,0
"Pueblo, Colorado",1,0,1,0
"Randall, Texas",0,1,1,0
"Reeves, Texas",0,1,1,0
"Riverside, California",1,0,1,0
"San Mateo, California",1,0,1,0
"Shackelford, Texas",0,1,1,1
"Shelby, Tennessee",0,1,1,0
"Suffolk, New York",0,1,1,0
"Travis, Texas",0,1,1,0
