County,Vaccinated,Vaccinated (1 dose),Vaccinated (2+ doses),Unvaccinated or Unknown,Unvaccinated,Unknown,Total Confirmed Cases
Texas,11.0,4,7,550.0,0.0,0.0,561
New Mexico,6.0,0,0,57.0,46.0,11.0,63
Kansas,5.0,0,0,0.0,30.0,2.0,37
Alaska,0.0,0,0,1.0,1.0,0.0,1
Arkansas,0.0,0,0,2.0,2.0,0.0,2
California,0.0,0,0,9.0,2.0,7.0,9
Colorado,0.0,0,0,3.0,2.0,1.0,3
Florida,0.0,0,0,1.0,0.0,1.0,1
Georgia,0.0,0,0,3.0,3.0,0.0,3
Hawaii,0.0,0,0,1.0,1.0,0.0,1
Indiana,0.0,0,0,1.0,1.0,0.0,1
Kentucky,0.0,0,0,1.0,0.0,1.0,1
Maryland,0.0,0,0,3.0,0.0,3.0,3
Michigan,1.0,0,0,3.0,0.0,3.0,7
New Jersey,0.0,0,0,3.0,3.0,0.0,3
New York,0.0,0,0,4.0,3.0,1.0,3
Ohio,0.0,0,0,1.0,0.0,1.0,35
Oklahoma,0.0,0,0,8.0,8.0,0.0,8
Pennsylvania,0.0,0,0,5.0,3.0,2.0,10
Rhode Island,0.0,0,0,1.0,1.0,0.0,1
Tennessee,0.0,0,0,4.0,0.0,4.0,4
Vermont,0.0,0,0,1.0,0.0,1.0,1
Washington,0.0,0,0,4.0,0.0,4.0,4
Combined,23.0,4,7,666.0,106.0,42.0,762
