week_start,week_end,Kansas_cases,NM_cases,TX_cases
2025-01-05,2025-01-11,0,0,0
2025-01-12,2025-01-18,0,0,0
2025-01-19,2025-01-25,0,0,6
2025-01-26,2025-02-01,1,0,23
2025-02-02,2025-02-08,1,0,27
2025-02-09,2025-02-15,0,14,51
2025-02-16,2025-02-22,0,6,68
2025-02-23,2025-03-01,1,8,54
2025-03-02,2025-03-08,1,6,65
2025-03-09,2025-03-15,7,6,60
2025-03-16,2025-03-22,9,3,77
2025-03-23,2025-03-29,6,6,70
2025-03-30,2025-04-05,6,10,64
2025-04-06,2025-04-12,5,5,49
2025-04-13,2025-04-19,2,1,40
2025-04-20,2025-04-26,6,1,9
2025-04-27,2025-05-03,0,0,0
