State,Date,0-4 Yrs,5-17 Yrs,18+ Yrs,Pending
Alaska,2025-05-17,0,0,1,0
Arkansas,2025-05-17,0,4,1,1
California,2025-05-17,1,1,3,7
Colorado,2025-05-17,1,0,4,0
Florida,2025-05-17,0,1,0,0
Georgia,2025-05-17,0,0,0,3
Hawaii,2025-05-17,1,0,1,0
Illinois,2025-05-17,0,0,3,3
Indiana,2025-05-17,0,5,3,0
Kansas,2025-05-17,19,26,11,0
Kentucky,2025-05-17,0,0,1,0
Louisiana,2025-05-17,0,0,1,0
Maryland,2025-05-17,0,0,0,3
Michigan,2025-05-17,2,0,3,4
Minnesota,2025-05-17,1,0,1,0
Missouri,2025-05-17,0,1,1,0
Montana,2025-05-17,0,0,0,8
New Jersey,2025-05-17,0,1,0,2
New Mexico,2025-05-17,21,20,33,0
New York,2025-05-17,4,0,0,3
North Dakota,2025-05-17,0,1,0,11
Ohio,2025-05-17,0,2,3,30
Oklahoma,2025-05-17,0,0,0,14
Pennsylvania,2025-05-17,1,2,1,9
Rhode Island,2025-05-17,0,1,0,0
Tennessee,2025-05-17,0,0,0,6
Texas,2025-05-17,211,273,230,19
Vermont,2025-05-17,0,1,0,0
Virginia,2025-05-17,1,0,0,0
Washington,2025-05-17,3,0,1,1
