jurisdiction,fips,2025-01-05,2025-01-12,2025-01-19,2025-01-26,2025-02-02,2025-02-09,2025-02-16,2025-02-23,2025-03-02,2025-03-09,2025-03-16,2025-03-23,2025-03-30,2025-04-06,2025-04-13,2025-04-20,2025-04-27,2025-05-04,2025-05-11
"Kenai Peninsula, Alaska",2122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faulkner, Arkansas",5045,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
"Saline, Arkansas",5125,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Fresno, California",6019,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"Los Angeles, California",6037,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
"Orange, California",6059,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Placer, California",6061,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Riverside, California",6065,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"San Mateo, California",6081,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Tuolumne, California",6109,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Archuleta, Colorado",8007,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Denver, Colorado",8031,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"Pueblo, Colorado",8101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Miami-Dade, Florida",12086,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Fulton, Georgia",13121,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Honolulu, Hawaii",15003,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"Cook, Illinois",17031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Williamson, Illinois",17199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"Allen, Indiana",18003,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0
"Finney, Kansas",20055,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0
"Ford, Kansas",20057,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"Grant, Kansas",20067,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
"Gray, Kansas",20069,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,12,0,6
"Haskell, Kansas",20081,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0
"Kiowa, Kansas",20097,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Morton, Kansas",20129,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Reno, Kansas",20155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Sedgwick, Kansas",20173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Stevens, Kansas",20189,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0
"Franklin, Kentucky",21073,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Orleans, Louisiana",22071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Howard, Maryland",24027,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Prince George's, Maryland",24033,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Ingham, Michigan",26065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Kent, Michigan",26081,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Macomb, Michigan",26099,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Montcalm, Michigan",26117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
"Oakland, Michigan",26125,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Hennepin, Minnesota",27053,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"New Madrid, Missouri",29143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Taney, Missouri",29213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Gallatin, Montana",30031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0
"Bergen, New Jersey",34003,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"Chaves, New Mexico",35005,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Curry, New Mexico",35009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Dona Ana, New Mexico",35013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Eddy, New Mexico",35015,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"Lea, New Mexico",35025,0,0,0,0,0,3,0,0,27,2,0,0,20,3,4,2,0,3,1
"Sandoval, New Mexico",35043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"New York, New York",36061,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Orange, New York",36071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"Suffolk, New York",36103,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Cass, North Dakota",38017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Williams, North Dakota",38105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
"Allen, Ohio",39003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ashtabula, Ohio",39007,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0
"Cuyahoga, Ohio",39035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Defiance, Ohio",39039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Holmes, Ohio",39075,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Knox, Ohio",39083,0,0,0,0,0,0,0,0,0,0,0,1,2,11,6,0,0,0,0
"Oklahoma, Oklahoma",40109,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,3,1,1,0
"Bucks, Pennsylvania",42017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Erie, Pennsylvania",42049,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,3,0
"Lancaster, Pennsylvania",42071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Montgomery, Pennsylvania",42091,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Philadelphia, Pennsylvania",42101,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Providence, Rhode Island",44007,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Knox, Tennessee",47093,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0
"Shelby, Tennessee",47157,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Andrews, Texas",48003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"Atascosa, Texas",48013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Bailey, Texas",48017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Borden, Texas",48033,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Brazoria, Texas",48039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Brown, Texas",48049,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Carson, Texas",48065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Cochran, Texas",48079,0,0,0,0,0,0,0,0,0,0,8,0,1,2,1,2,0,0,0
"Collin, Texas",48085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Dallam, Texas",48111,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0
"Dawson, Texas",48115,0,0,0,0,0,0,6,2,0,0,6,0,6,1,3,1,1,0,0
"Denton, Texas",48121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Eastland, Texas",48133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Ector, Texas",48135,0,0,0,0,0,0,1,1,0,0,2,0,4,0,1,1,1,0,0
"El Paso, Texas",48141,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,4,16,12,2
"Erath, Texas",48143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Fort Bend, Texas",48157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Gaines, Texas",48165,0,0,0,0,6,36,15,41,9,49,114,0,45,40,16,22,3,7,3
"Garza, Texas",48169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Hale, Texas",48189,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0
"Hardeman, Texas",48197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Harris, Texas",48201,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"Hockley, Texas",48219,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0
"Lamar, Texas",48277,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,3,3,2,0
"Lamb, Texas",48279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Lubbock, Texas",48303,0,0,0,0,0,0,1,1,0,0,21,0,10,5,4,5,3,1,1
"Lynn, Texas",48305,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Martin, Texas",48317,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"Midland, Texas",48329,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"Parmer, Texas",48369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0
"Potter, Texas",48375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"Randall, Texas",48381,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Reeves, Texas",48389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rockwall, Texas",48397,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"Shackelford, Texas",48417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tarrant, Texas",48439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Terry, Texas",48445,0,0,0,0,0,3,17,1,0,0,17,0,5,4,5,7,0,1,0
"Travis, Texas",48453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Upshur, Texas",48459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0
"Yoakum, Texas",48501,0,0,0,0,0,2,2,2,0,0,9,0,2,1,1,0,0,1,0
"Lamoille, Vermont",50015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Prince William, Virginia",51153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"King, Washington",53033,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"Snohomish, Washington",53061,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
